,id,neighbourhood_group_cleansed,room_type,price,calculated_host_listings_count,availability_365,bedrooms,bathrooms,beds,accommodates,host_is_superhost,log_price
28268,923974573909245693,Brooklyn,Entire home/apt,141.0,2,265,2.0,1.0,2.0,4,False,2.1492191126553797
28269,924001872239136033,Manhattan,Entire home/apt,425.0,25,178,2.0,1.5,2.0,4,False,2.6283889300503116
28270,924096046403534301,Brooklyn,Private room,47.0,2,180,1.0,1.0,1.0,1,False,1.6720978579357175
28271,924124016591986136,Queens,Entire home/apt,245.0,1,223,2.0,2.0,2.0,2,False,2.3891660843645326
28273,924510090567827314,Manhattan,Entire home/apt,223.0,236,338,2.0,1.0,2.0,4,False,2.3483048630481607
28274,918366430524968270,Brooklyn,Entire home/apt,197.0,1,364,2.0,1.0,2.0,4,False,2.294466226161593
28275,918367184813940843,Queens,Entire home/apt,350.0,1,118,3.0,2.0,3.0,6,False,2.5440680443502757
28276,918388866035115888,Staten Island,Private room,67.0,1,365,1.0,1.0,1.0,1,False,1.8260748027008264
28278,921973637699062776,Manhattan,Entire home/apt,135.0,1,92,1.0,1.0,1.0,2,False,2.130333768495006
28279,921985740130193871,Manhattan,Entire home/apt,192.0,1,135,1.0,1.0,2.0,4,False,2.2833012287035497
28280,922205182778485353,Manhattan,Entire home/apt,370.0,1194,244,1.0,1.0,1.0,2,False,2.568201724066995
28282,922380180116140037,Manhattan,Entire home/apt,120.0,1,39,1.0,1.0,1.0,1,False,2.0791812460476247
28285,918404144849811197,Bronx,Private room,88.0,1,269,1.0,1.0,2.0,2,False,1.9444826721501687
28287,928135852681483836,Queens,Entire home/apt,65.0,2,179,2.0,1.0,2.0,1,False,1.8129133566428555
28288,924522673156896830,Manhattan,Entire home/apt,180.0,236,305,1.0,1.0,1.0,3,False,2.255272505103306
28289,924523082287697779,Manhattan,Entire home/apt,192.0,236,359,1.0,1.0,1.0,2,False,2.2833012287035497
28290,924663408638450361,Manhattan,Entire home/apt,270.0,1,364,1.0,2.0,1.0,2,False,2.4313637641589874
28291,924666864724020545,Brooklyn,Private room,39.0,4,90,1.0,1.0,1.0,2,False,1.591064607026499
28293,924755008538247849,Manhattan,Entire home/apt,104.0,32,52,1.0,1.0,2.0,2,False,2.0170333392987803
28294,924768162233456430,Queens,Private room,131.0,3,365,1.0,1.0,1.0,2,True,2.1172712956557644
28296,928143028684103281,Brooklyn,Entire home/apt,266.0,1,145,3.0,1.5,4.0,4,True,2.424881636631067
28297,928150949438055792,Queens,Entire home/apt,99.0,42,303,1.0,1.0,2.0,3,True,1.99563519459755
28298,928203844965377896,Queens,Entire home/apt,160.0,1,365,2.0,1.0,3.0,6,False,2.2041199826559246
28299,928358388994326377,Manhattan,Entire home/apt,151.0,9,348,1.0,1.0,1.0,2,True,2.1789769472931693
28301,928394724531306431,Manhattan,Entire home/apt,257.0,2,270,1.0,1.0,1.0,4,False,2.4099331233312946
28302,928436525828395953,Queens,Private room,95.0,1,180,1.0,1.0,1.0,1,False,1.9777236052888478
28303,922488751273363648,Manhattan,Private room,114.0,1,226,1.0,1.5,1.0,1,False,2.0569048513364727
28304,922527181364298444,Queens,Entire home/apt,88.0,3,180,1.0,1.0,2.0,4,False,1.9444826721501687
28305,922531986743506039,Manhattan,Private room,59.0,1,269,1.0,1.0,2.0,1,False,1.7708520116421442
28307,922544917728869201,Manhattan,Entire home/apt,299.0,74,205,2.0,1.0,2.0,6,True,2.4756711883244296
28308,922570487743691267,Brooklyn,Private room,95.0,25,59,1.0,1.0,1.0,2,False,1.9777236052888478
